,NObeyesdad
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,2
823,2
824,2
825,2
826,2
827,2
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,2
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,2
853,2
854,2
855,2
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,2
864,2
865,2
866,2
867,2
868,2
869,2
870,2
871,2
872,2
873,2
874,2
875,2
876,2
877,2
878,2
879,2
880,2
881,2
882,2
883,2
884,2
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,2
896,2
897,2
898,2
899,2
900,2
901,2
902,2
903,2
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,2
913,2
914,2
915,2
916,2
917,2
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,2
936,2
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,2
956,2
957,2
958,2
959,2
960,2
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,2
974,2
975,2
976,2
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
1000,3
1001,3
1002,3
1003,3
1004,3
1005,3
1006,3
1007,3
1008,3
1009,3
1010,3
1011,3
1012,3
1013,3
1014,3
1015,3
1016,3
1017,3
1018,3
1019,3
1020,3
1021,3
1022,3
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,3
1034,3
1035,3
1036,3
1037,3
1038,3
1039,3
1040,3
1041,3
1042,3
1043,3
1044,3
1045,3
1046,3
1047,3
1048,3
1049,3
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,3
1066,3
1067,3
1068,3
1069,3
1070,3
1071,3
1072,3
1073,3
1074,3
1075,3
1076,3
1077,3
1078,3
1079,3
1080,3
1081,3
1082,3
1083,3
1084,3
1085,3
1086,3
1087,3
1088,3
1089,3
1090,3
1091,3
1092,3
1093,3
1094,3
1095,3
1096,3
1097,3
1098,3
1099,3
1100,3
1101,3
1102,3
1103,3
1104,3
1105,3
1106,3
1107,3
1108,3
1109,3
1110,3
1111,3
1112,3
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,3
1123,3
1124,3
1125,3
1126,3
1127,3
1128,3
1129,3
1130,3
1131,3
1132,3
1133,3
1134,3
1135,3
1136,3
1137,3
1138,3
1139,3
1140,3
1141,3
1142,3
1143,3
1144,3
1145,3
1146,3
1147,3
1148,3
1149,3
1150,3
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,3
1158,3
1159,3
1160,3
1161,3
1162,3
1163,3
1164,3
1165,3
1166,3
1167,3
1168,3
1169,3
1170,3
1171,3
1172,3
1173,3
1174,3
1175,3
1176,3
1177,3
1178,3
1179,3
1180,3
1181,3
1182,3
1183,3
1184,3
1185,3
1186,3
1187,3
1188,3
1189,3
1190,3
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1204,3
1205,3
1206,3
1207,3
1208,3
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,4
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,4
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,4
1275,4
1276,4
1277,4
1278,4
1279,4
1280,4
1281,4
1282,4
1283,4
1284,4
1285,4
1286,4
1287,4
1288,4
1289,4
1290,4
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,4
1306,4
1307,4
1308,4
1309,4
1310,4
1311,4
1312,4
1313,4
1314,4
1315,4
1316,4
1317,4
1318,4
1319,4
1320,4
1321,4
1322,4
1323,4
1324,4
1325,4
1326,4
1327,4
1328,4
1329,4
1330,4
1331,4
1332,4
1333,4
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,4
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,4
1350,4
1351,4
1352,4
1353,4
1354,4
1355,4
1356,4
1357,4
1358,4
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,4
1389,4
1390,4
1391,4
1392,4
1393,4
1394,4
1395,4
1396,4
1397,4
1398,4
1399,4
1400,4
1401,4
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,4
1415,4
1416,4
1417,4
1418,4
1419,4
1420,4
1421,4
1422,4
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,4
1430,4
1431,4
1432,4
1433,4
1434,4
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,4
1442,4
1443,4
1444,4
1445,4
1446,4
1447,4
1448,4
1449,4
1450,4
1451,4
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,4
1467,4
1468,4
1469,4
1470,4
1471,4
1472,4
1473,4
1474,4
1475,4
1476,4
1477,4
1478,4
1479,4
1480,4
1481,4
1482,4
1483,4
1484,4
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4
1491,4
1492,4
1493,4
1494,4
1495,4
1496,4
1497,4
1498,4
1499,4
1500,4
1501,4
1502,4
1503,4
1504,4
1505,4
1506,4
1507,4
1508,4
1509,4
1510,4
1511,4
1512,4
1513,5
1514,5
1515,5
1516,5
1517,5
1518,5
1519,5
1520,5
1521,5
1522,5
1523,5
1524,5
1525,5
1526,5
1527,5
1528,5
1529,5
1530,5
1531,5
1532,5
1533,5
1534,5
1535,5
1536,5
1537,5
1538,5
1539,5
1540,5
1541,5
1542,5
1543,5
1544,5
1545,5
1546,5
1547,5
1548,5
1549,5
1550,5
1551,5
1552,5
1553,5
1554,5
1555,5
1556,5
1557,5
1558,5
1559,5
1560,5
1561,5
1562,5
1563,5
1564,5
1565,5
1566,5
1567,5
1568,5
1569,5
1570,5
1571,5
1572,5
1573,5
1574,5
1575,5
1576,5
1577,5
1578,5
1579,5
1580,5
1581,5
1582,5
1583,5
1584,5
1585,5
1586,5
1587,5
1588,5
1589,5
1590,5
1591,5
1592,5
1593,5
1594,5
1595,5
1596,5
1597,5
1598,5
1599,5
1600,5
1601,5
1602,5
1603,5
1604,5
1605,5
1606,5
1607,5
1608,5
1609,5
1610,5
1611,5
1612,5
1613,5
1614,5
1615,5
1616,5
1617,5
1618,5
1619,5
1620,5
1621,5
1622,5
1623,5
1624,5
1625,5
1626,5
1627,5
1628,5
1629,5
1630,5
1631,5
1632,5
1633,5
1634,5
1635,5
1636,5
1637,5
1638,5
1639,5
1640,5
1641,5
1642,5
1643,5
1644,5
1645,5
1646,5
1647,5
1648,5
1649,5
1650,5
1651,5
1652,5
1653,5
1654,5
1655,5
1656,5
1657,5
1658,5
1659,5
1660,5
1661,5
1662,5
1663,5
1664,5
1665,5
1666,5
1667,5
1668,5
1669,5
1670,5
1671,5
1672,5
1673,5
1674,5
1675,5
1676,5
1677,5
1678,5
1679,5
1680,5
1681,5
1682,5
1683,5
1684,5
1685,5
1686,5
1687,5
1688,5
1689,5
1690,5
1691,5
1692,5
1693,5
1694,5
1695,5
1696,5
1697,5
1698,5
1699,5
1700,5
1701,5
1702,5
1703,5
1704,5
1705,5
1706,5
1707,5
1708,5
1709,5
1710,5
1711,5
1712,5
1713,5
1714,5
1715,5
1716,5
1717,5
1718,5
1719,5
1720,5
1721,5
1722,5
1723,5
1724,5
1725,5
1726,5
1727,5
1728,5
1729,5
1730,5
1731,5
1732,5
1733,5
1734,5
1735,5
1736,5
1737,5
1738,5
1739,5
1740,5
1741,5
1742,5
1743,5
1744,5
1745,5
1746,5
1747,5
1748,5
1749,5
1750,5
1751,5
1752,5
1753,5
1754,5
1755,5
1756,5
1757,5
1758,5
1759,5
1760,5
1761,5
1762,5
1763,5
1764,5
1765,5
1766,5
1767,5
1768,5
1769,5
1770,5
1771,5
1772,5
1773,5
1774,5
1775,5
1776,5
1777,5
1778,5
1779,5
1780,5
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
1790,5
1791,5
1792,5
1793,5
1794,5
1795,5
1796,5
1797,5
1798,5
1799,6
1800,6
1801,6
1802,6
1803,6
1804,6
1805,6
1806,6
1807,6
1808,6
1809,6
1810,6
1811,6
1812,6
1813,6
1814,6
1815,6
1816,6
1817,6
1818,6
1819,6
1820,6
1821,6
1822,6
1823,6
1824,6
1825,6
1826,6
1827,6
1828,6
1829,6
1830,6
1831,6
1832,6
1833,6
1834,6
1835,6
1836,6
1837,6
1838,6
1839,6
1840,6
1841,6
1842,6
1843,6
1844,6
1845,6
1846,6
1847,6
1848,6
1849,6
1850,6
1851,6
1852,6
1853,6
1854,6
1855,6
1856,6
1857,6
1858,6
1859,6
1860,6
1861,6
1862,6
1863,6
1864,6
1865,6
1866,6
1867,6
1868,6
1869,6
1870,6
1871,6
1872,6
1873,6
1874,6
1875,6
1876,6
1877,6
1878,6
1879,6
1880,6
1881,6
1882,6
1883,6
1884,6
1885,6
1886,6
1887,6
1888,6
1889,6
1890,6
1891,6
1892,6
1893,6
1894,6
1895,6
1896,6
1897,6
1898,6
1899,6
1900,6
1901,6
1902,6
1903,6
1904,6
1905,6
1906,6
1907,6
1908,6
1909,6
1910,6
1911,6
1912,6
1913,6
1914,6
1915,6
1916,6
1917,6
1918,6
1919,6
1920,6
1921,6
1922,6
1923,6
1924,6
1925,6
1926,6
1927,6
1928,6
1929,6
1930,6
1931,6
1932,6
1933,6
1934,6
1935,6
1936,6
1937,6
1938,6
1939,6
1940,6
1941,6
1942,6
1943,6
1944,6
1945,6
1946,6
1947,6
1948,6
1949,6
1950,6
1951,6
1952,6
1953,6
1954,6
1955,6
1956,6
1957,6
1958,6
1959,6
1960,6
1961,6
1962,6
1963,6
1964,6
1965,6
1966,6
1967,6
1968,6
1969,6
1970,6
1971,6
1972,6
1973,6
1974,6
1975,6
1976,6
1977,6
1978,6
1979,6
1980,6
1981,6
1982,6
1983,6
1984,6
1985,6
1986,6
1987,6
1988,6
1989,6
1990,6
1991,6
1992,6
1993,6
1994,6
1995,6
1996,6
1997,6
1998,6
1999,6
2000,6
2001,6
2002,6
2003,6
2004,6
2005,6
2006,6
2007,6
2008,6
2009,6
2010,6
2011,6
2012,6
2013,6
2014,6
2015,6
2016,6
2017,6
2018,6
2019,6
2020,6
2021,6
2022,6
2023,6
2024,6
2025,6
2026,6
2027,6
2028,6
2029,6
2030,6
2031,6
2032,6
2033,6
2034,6
2035,6
2036,6
2037,6
2038,6
2039,6
2040,6
2041,6
2042,6
2043,6
2044,6
2045,6
2046,6
2047,6
2048,6
2049,6
2050,6
2051,6
2052,6
2053,6
2054,6
2055,6
2056,6
2057,6
2058,6
2059,6
2060,6
2061,6
2062,6
2063,6
2064,6
2065,6
2066,6
2067,6
2068,6
2069,6
2070,6
2071,6
2072,6
2073,6
2074,6
2075,6
2076,6
2077,6
2078,6
2079,6
2080,6
2081,6
2082,6
2083,6
2084,6
2085,6
2086,6
2087,6
2088,6
2089,6
2090,6
2091,6
2092,6
2093,6
2094,6
2095,6
2096,6
2097,6
2098,6
2099,6
2100,6
2101,6
2102,6
2103,6
2104,6
2105,6
2106,6
2107,6
2108,6
2109,6
2110,6
2111,3
2112,1
2113,0
2114,6
2115,3
2116,0
2117,5
2118,5
2119,2
2120,6
2121,2
2122,1
2123,4
2124,6
2125,1
2126,5
2127,3
2128,1
2129,3
2130,5
2131,3
2132,1
2133,6
2134,4
2135,0
2136,4
2137,6
2138,6
2139,1
2140,3
2141,5
2142,4
2143,6
2144,3
2145,5
2146,2
2147,3
2148,6
2149,3
2150,0
2151,1
2152,4
2153,4
2154,6
2155,3
2156,2
2157,5
2158,6
2159,4
2160,6
2161,5
2162,2
2163,0
2164,2
2165,6
2166,0
2167,3
2168,3
2169,1
2170,0
2171,0
2172,4
2173,6
2174,1
2175,5
2176,0
2177,4
2178,3
2179,2
2180,3
2181,4
2182,4
2183,6
2184,3
2185,6
2186,0
2187,2
2188,3
2189,2
2190,4
2191,4
2192,5
2193,0
2194,2
2195,4
2196,3
2197,6
2198,5
2199,6
2200,5
2201,4
2202,6
2203,2
2204,0
2205,5
2206,2
2207,5
2208,2
2209,6
2210,4
2211,2
2212,0
2213,5
2214,4
2215,6
2216,6
2217,6
2218,1
2219,6
2220,5
2221,4
2222,1
2223,1
2224,0
2225,0
2226,2
2227,4
2228,6
2229,6
2230,1
2231,3
2232,6
2233,2
2234,3
2235,3
2236,0
2237,1
2238,4
2239,1
2240,5
2241,0
2242,0
2243,5
2244,6
2245,4
2246,2
2247,2
2248,2
2249,2
2250,3
2251,6
2252,2
2253,1
2254,4
2255,5
2256,3
2257,4
2258,1
2259,6
2260,1
2261,5
2262,5
2263,1
2264,1
2265,3
2266,4
2267,5
2268,5
2269,6
2270,1
2271,1
2272,3
2273,1
2274,3
2275,2
2276,5
2277,4
2278,0
2279,2
2280,4
2281,3
2282,1
2283,2
2284,4
2285,2
2286,5
2287,4
2288,2
2289,1
2290,6
2291,0
2292,4
2293,4
2294,6
2295,5
2296,3
2297,3
2298,2
2299,6
2300,6
2301,4
2302,3
2303,1
2304,1
2305,1
2306,1
2307,1
2308,5
2309,5
2310,5
2311,5
2312,2
2313,6
2314,3
2315,2
2316,5
2317,5
2318,5
2319,5
2320,5
2321,5
2322,6
2323,5
2324,2
2325,1
2326,2
2327,6
2328,4
2329,0
2330,2
2331,0
2332,6
2333,3
2334,6
2335,0
2336,6
2337,5
2338,6
2339,3
2340,3
2341,0
2342,6
2343,6
2344,4
2345,1
2346,1
2347,1
2348,3
2349,1
2350,1
2351,0
2352,2
2353,4
2354,3
2355,1
2356,6
2357,2
2358,2
2359,6
2360,6
2361,6
2362,4
2363,2
2364,6
2365,0
2366,2
2367,6
2368,1
2369,1
2370,5
2371,5
2372,5
2373,3
2374,0
2375,3
2376,0
2377,6
2378,5
2379,6
2380,4
2381,4
2382,5
2383,1
2384,5
2385,0
2386,1
2387,5
2388,2
2389,4
2390,2
2391,2
2392,6
2393,0
2394,6
2395,5
2396,2
2397,6
2398,6
2399,4
2400,3
2401,5
2402,0
2403,0
2404,4
2405,3
2406,1
2407,1
2408,0
2409,5
2410,1
2411,2
2412,5
2413,1
2414,3
2415,3
2416,4
2417,2
2418,6
2419,5
2420,6
2421,2
2422,5
2423,4
2424,6
2425,3
2426,5
2427,2
2428,3
2429,1
2430,4
2431,4
2432,0
2433,0
2434,6
2435,0
2436,1
2437,0
2438,2
2439,0
2440,3
2441,2
2442,0
2443,6
2444,0
2445,5
2446,4
2447,6
2448,6
2449,6
2450,1
2451,6
2452,6
2453,2
2454,3
2455,4
2456,6
2457,1
2458,1
2459,5
2460,0
2461,0
2462,1
2463,1
2464,3
2465,4
2466,4
2467,6
2468,1
2469,6
2470,1
2471,6
2472,4
2473,1
2474,6
2475,6
2476,3
2477,3
2478,5
2479,5
2480,1
2481,6
2482,1
2483,3
2484,4
2485,3
2486,5
2487,4
2488,6
2489,6
2490,3
2491,3
2492,6
2493,0
2494,0
2495,2
2496,0
2497,2
2498,4
2499,6
2500,1
2501,6
2502,4
2503,1
2504,1
2505,6
2506,6
2507,6
2508,4
2509,3
2510,0
2511,5
2512,3
2513,4
2514,1
2515,6
2516,4
2517,2
2518,5
2519,5
2520,4
2521,0
2522,6
2523,6
2524,1
2525,1
2526,1
2527,1
2528,0
2529,1
2530,6
2531,4
2532,0
2533,6
2534,6
2535,4
2536,0
2537,4
2538,0
2539,6
2540,5
2541,3
2542,5
2543,4
2544,6
2545,1
2546,2
2547,5
2548,1
2549,3
2550,3
2551,6
2552,6
2553,0
2554,3
2555,1
2556,5
2557,1
2558,2
2559,1
2560,5
2561,5
2562,2
2563,6
2564,3
2565,6
2566,1
2567,2
2568,6
2569,3
2570,6
2571,3
2572,4
2573,6
2574,6
2575,6
2576,3
2577,4
2578,1
2579,6
2580,2
2581,3
2582,2
2583,4
2584,5
2585,6
2586,2
2587,0
2588,2
2589,5
2590,4
2591,6
2592,5
2593,4
2594,4
2595,6
2596,6
2597,6
2598,4
2599,5
2600,5
2601,4
2602,2
2603,2
2604,1
2605,2
2606,3
2607,2
2608,2
2609,2
2610,0
2611,5
2612,1
2613,0
2614,6
2615,2
2616,6
2617,5
2618,6
2619,0
2620,0
2621,4
2622,0
2623,0
2624,4
2625,6
2626,2
2627,4
2628,4
2629,6
2630,6
2631,4
2632,2
2633,4
2634,0
2635,5
2636,6
2637,4
2638,0
2639,0
2640,1
2641,0
2642,6
2643,0
2644,6
2645,1
2646,1
2647,1
2648,4
2649,4
2650,2
2651,0
2652,1
2653,0
2654,1
2655,5
2656,1
2657,2
2658,3
2659,3
2660,5
2661,5
2662,6
2663,1
2664,6
2665,3
2666,4
2667,5
2668,6
2669,1
2670,1
2671,0
2672,6
2673,1
2674,6
2675,2
2676,2
2677,6
2678,4
2679,2
2680,2
2681,4
2682,4
2683,4
2684,5
2685,1
2686,6
2687,2
2688,0
2689,6
2690,5
2691,2
2692,4
2693,4
2694,5
2695,4
2696,6
2697,6
2698,1
2699,6
2700,6
2701,3
2702,2
2703,3
2704,5
2705,1
2706,6
2707,6
2708,0
2709,1
2710,3
2711,4
2712,2
2713,2
2714,6
2715,2
2716,5
2717,4
2718,0
2719,5
2720,6
2721,3
2722,6
2723,2
2724,0
2725,5
2726,5
2727,6
2728,0
2729,0
2730,2
2731,0
2732,4
2733,5
2734,0
2735,4
2736,0
2737,1
2738,1
2739,3
2740,4
2741,6
2742,5
2743,1
2744,6
2745,1
2746,5
2747,1
2748,5
2749,3
2750,4
2751,0
2752,6
2753,1
2754,1
2755,1
2756,3
2757,5
2758,3
2759,4
2760,3
2761,0
2762,1
2763,2
2764,2
2765,5
2766,6
2767,3
2768,2
2769,6
2770,3
2771,4
2772,0
2773,3
2774,4
2775,6
2776,0
2777,6
2778,3
2779,2
2780,6
2781,6
2782,5
2783,5
2784,0
2785,0
2786,1
2787,5
2788,5
2789,4
2790,3
2791,2
2792,1
2793,6
2794,4
2795,1
2796,6
2797,2
2798,1
2799,0
2800,3
2801,1
2802,1
2803,0
2804,3
2805,6
2806,6
2807,2
2808,4
2809,1
2810,4
2811,6
2812,0
2813,6
2814,2
2815,0
2816,2
2817,5
2818,6
2819,5
2820,4
2821,5
2822,2
2823,5
2824,6
2825,5
2826,6
2827,0
2828,1
2829,0
2830,6
2831,0
2832,4
2833,2
2834,2
2835,2
2836,6
2837,2
2838,5
2839,0
2840,0
2841,2
2842,4
2843,2
2844,5
2845,1
2846,1
2847,5
2848,6
2849,0
2850,5
2851,2
2852,4
2853,0
2854,0
2855,1
2856,6
2857,0
2858,6
2859,1
2860,4
2861,6
2862,6
2863,6
2864,0
2865,6
2866,5
2867,2
2868,6
2869,1
2870,6
2871,1
2872,0
2873,4
2874,3
2875,3
2876,1
2877,1
2878,5
2879,1
2880,6
2881,5
2882,3
2883,1
2884,6
2885,4
2886,4
2887,5
2888,0
2889,6
2890,6
2891,4
2892,5
2893,3
2894,3
2895,4
2896,6
2897,1
2898,4
2899,5
2900,6
2901,6
2902,1
2903,4
2904,4
2905,6
2906,2
2907,5
2908,4
2909,1
2910,1
2911,1
2912,4
2913,3
2914,5
2915,1
2916,1
2917,5
2918,1
2919,0
2920,4
2921,6
2922,4
2923,1
2924,0
2925,3
2926,3
2927,4
2928,0
2929,4
2930,4
2931,2
2932,1
2933,2
2934,4
2935,5
2936,6
2937,6
2938,5
2939,4
2940,1
2941,0
2942,6
2943,4
2944,4
2945,6
2946,2
2947,5
2948,0
2949,4
2950,3
2951,5
2952,3
2953,6
2954,6
2955,5
2956,4
2957,0
2958,3
2959,2
2960,1
2961,3
2962,4
2963,4
2964,3
2965,3
2966,3
2967,6
2968,4
2969,0
2970,1
2971,6
2972,4
2973,4
2974,6
2975,1
2976,6
2977,5
2978,2
2979,2
2980,0
2981,0
2982,4
2983,0
2984,1
2985,6
2986,6
2987,1
2988,6
2989,0
2990,3
2991,0
2992,1
2993,5
2994,1
2995,5
